gene_symbol	log2FoldChange	pvalue	padj	significance
GOLGA6A	-0.718994464134068	0.7436875271879	NA	Not significant
RN7SL429P	NA	NA	NA	Not significant
ENSG00000214702	-0.466650168772926	0.886753558172694	NA	Not significant
ENSG00000261543	-2.24375208108049	0.0122047418169788	NA	Not significant
ENSG00000278348	-0.796078244747838	0.808039221595251	NA	Not significant
ENSG00000261384	NA	NA	NA	Not significant
ENSG00000277749	0.399043600535022	0.801846092688155	NA	Not significant
ENSG00000260266	2.29973143272067	0.0442950536973444	NA	Not significant
ENSG00000274937	-0.58998118323748	0.857107615631599	NA	Not significant
LINC02255	-0.425258507495493	0.896737792745439	NA	Not significant
MIR6881	0.0023792743092106	0.998926789970601	NA	Not significant
ENSG00000260103	0.626121774450954	0.337459011286467	NA	Not significant
ENSG00000212279	NA	NA	NA	Not significant
ENSG00000275527	0.0710381828984602	0.920247189363487	NA	Not significant
CYP1A2	1.06896706126108	0.365422637093342	NA	Not significant
MIR4513	-0.796655423958655	0.807902755372876	NA	Not significant
LMAN1L	2.41110231393165	0.0126904057374833	NA	Not significant
ENSG00000261606	-0.876309128602827	0.295554996897816	NA	Not significant
CPLX3	NA	NA	NA	Not significant
MIR6882	-0.465505111203738	0.811183322860653	NA	Not significant
ENSG00000261813	0.1466441593617	0.853063325604729	NA	Not significant
ENSG00000199580	-0.466650168772926	0.886753558172694	NA	Not significant
ENSG00000260483	-0.796078244747837	0.808039221595251	NA	Not significant
ENSG00000203411	-0.63135556906946	0.847208360494756	NA	Not significant
ENSG00000252722	NA	NA	NA	Not significant
ENSG00000240366	-0.306079309331631	0.671407793340501	NA	Not significant
ENSG00000261779	-0.767706069834421	0.736427580564097	NA	Not significant
ENSG00000260660	-0.627800592554023	0.562312723819632	NA	Not significant
ENSG00000260104	-0.180382797719837	0.956098945071449	NA	Not significant
NIFKP4	-0.549000608432912	0.866940003412431	NA	Not significant
GOLGA6C	-0.713714850229706	0.827570776008327	NA	Not significant
